genesymbol	log2FoldChange	padj	genename	chromosome_name	idx
YAL001C	2.49367213144502	0.0164853421451098	TFC3	1	29
YAL002W	-0.448966642366447	0.8165946118221	VPS8	1	28
YAL003W	-0.949551917890206	0.452618086708253	EFB1	1	28
YAL005C	1.44349858884259	0.0990651866679679	SSA1	1	27
YAL007C	2.03955270078882	0.000315637457853729	ERP2	1	27
YAL008W	1.22830780640126	0.444171760735998	FUN14	1	27
YAL009W	-0.19072332536736	0.973005802265574	SPO7	1	27
YAL010C	-1.30864205418896	0.125728021411479	MDM10	1	26
YAL011W	-1.32538278419751	0.118107760470636	SWC3	1	26
YAL012W	0.95023848034487	0.254978664186261	CYS3	1	26
YAL013W	-0.24195175951294	0.397921392317209	DEP1	1	25
YAL014C	-0.316927060495234	0.53120547506889	SYN8	1	25
YAL015C	0.254420904739711	0.818010180112961	NTG1	1	25
YAL016W	0.195493954416986	0.958032720195957	TPD3	1	24
YAL017W	-0.160824267825409	0.964352258920997	PSK1	1	24
YAL018C	0.0960521320539314	0.733789638477486	LDS1	1	23
YAL019W	-1.57463157720387	0.121910416109487	FUN30	1	22
YAL020C	0.144252520744492	0.750885392875767	ATS1	1	22
YAL021C	-0.318090430754253	0.882792046689625	CCR4	1	22
YAL022C	1.9709024016918	0.00457593384798434	FUN26	1	21
YAL023C	0.0110528945511302	0.310289435041351	PMT2	1	21
YAL024C	1.08276634717592	0.268595205904509	LTE1	1	20
YAL025C	-3.59940468908307	4.63305573243407e-06	MAK16	1	20
YAL026C	-0.0176943485995716	0.980908103736208	DRS2	1	19
YAL027W	-0.585664306399655	0.486399519621506	SAW1	1	18
YAL028W	-1.83693208521112	0.0409046479406941	FRT2	1	18
YAL029C	0.650287328517158	0.0648439156584285	MYO4	1	17
YAL030W	-0.882111264644439	0.0569331772549473	SNC1	1	17
YAL031C	0.635791586869696	0.551089291142889	GIP4	1	16
YAL032C	4.01561940400743	1.58175770236467e-09	PRP45	1	16
YAL033W	0.861176685880197	0.453739746769877	POP5	1	16
YAL034C	2.66974684402592	6.95703013767177e-06	FUN19	1	16
YAL034W-A	3.9154888418611	2.14597205077494e-06	MTW1	1	15
YAL035W	-1.66990255795676	0.016684299098288	FUN12	1	15
YAL036C	-1.28172931647028	0.51556626752738	RBG1	1	15
YAL037C-A	0.476398236676596	0.256584337757317	NA	1	14
YAL037W	0.317352566500621	0.482399868131996	NA	1	14
YAL038W	-0.814970128581608	0.0597424661879181	CDC19	1	14
YAL039C	-1.23390514385881	0.206857806795987	CYC3	1	13
