genename	ensembl	log2FoldChange	chromosome_name	idx
RPL9A	YGL147C	-4.53148215152906	7	45
FAF1	YIL019W	-4.41461050174038	9	63
POC4	YPL144W	-3.85435869739797	16	56
RPS6A	YPL090C	-3.69285567962085	16	75
RPS21A	YKR057W	-3.64820844979862	11	110
RPS18B	YML026C	-3.62901823030205	13	44
RPS22A	YJL190C	-3.60683524566123	10	14
AAD3	YCR107W	-3.55526702421556	3	62
RPL29	YFR032C-A	-3.54477397370835	6	44
RPS9A	YPL081W	-3.48885650017848	16	80
ADA2	YDR448W	-3.47412964454807	4	271
SSB1	YDL229W	-3.43102542008643	4	8
RPL42A	YHR141C	-3.42568746147589	8	76
RPL22A	YLR061W	-3.41265051711401	12	52
RPL24A	YGL031C	-3.38676003987224	7	87
RPS5	YJR123W	-3.38556454422561	10	130
RPS31	YLR167W	-3.34839111564243	12	99
RPS10A	YOR293W	-3.33752399103799	15	173
RPL31A	YDL075W	-3.31993177974317	4	64
RPS8A	YER102W	-3.28562342792451	5	72
RPS12	YOR369C	-3.27126260667633	15	205
RPL6B	YLR448W	-3.2683240136905	12	205
RPS25B	YLR333C	-3.18998862347716	12	159
RPS24A	YER074W	-3.18998147217173	5	61
RPS20	YHL015W	-3.17771989261872	8	15
RPS1A	YLR441C	-3.17731556775971	12	203
RPL6A	YML073C	-3.17393366933518	13	24
ALD4	YOR374W	-3.1677022332239	15	207
RPL8B	YLL045C	-3.16279484165039	12	9
TEF4	YKL081W	-3.15723175686694	11	56
RPL17B	YJL177W	-3.15672220168392	10	18
RPS0B	YLR048W	-3.14145306651182	12	48
RPL26B	YGR034W	-3.1202022683821	7	111
RPS11B	YBR048W	-3.11709666188388	2	66
RPL27A	YHR010W	-3.11572958016146	8	25
RPL3	YOR063W	-3.10774263840706	15	88
RPL21B	YPL079W	-3.1019313584622	16	81
RPP1B	YDL130W	-3.09906646144846	4	45
RPL24B	YGR148C	-3.08990816737782	7	157
RPL5	YPL131W	-3.0793968941741	16	60
RPS1B	YML063W	-3.05382908934726	13	29
BUD20	YLR074C	-3.04491284640653	12	56
RPS4A	YJR145C	-3.02758761493915	10	140
RPL27B	YDR471W	-3.0037222590483	4	280
RPS3	YNL178W	-2.99787252828258	14	60
RPS2	YGL123W	-2.99337994901797	7	55
CGR1	YGL029W	-2.98000503591443	7	88
RPS23B	YPR132W	-2.9756873474515	16	158
RPL36B	YPL249C-A	-2.96435172777647	16	15
RPL32	YBL092W	-2.96416426246076	2	9
STM1	YLR150W	-2.95630659593283	12	88
RPL40B	YKR094C	-2.94682347719128	11	123
RPS26A	YGL189C	-2.93951539652056	7	29
RPS11B	YDR025W	-2.92297083673845	4	98
RPS10B	YMR230W	-2.91730211010467	13	146
HMF1	YER057C	-2.89979184487502	5	54
RPS4A	YHR203C	-2.88814011993327	8	100
RPL13B	YMR142C	-2.88604487808231	13	110
RPL42A	YNL162W	-2.87076493235885	14	66
RPL41A	YDL184C	-2.86931234804533	4	26
ASC1	YMR116C	-2.85709846531633	13	99
RPL39	YJL189W	-2.83657075142068	10	15
CHS7	YHR142W	-2.81721028761123	8	76
RPL33A	YPL143W	-2.78597967545708	16	56
RPS28A	YOR167C	-2.78116822448307	15	129
RPL21A	YBR191W	-2.77955526897058	2	121
MHO1	YJR008W	-2.77828874562497	10	90
ERB1	YMR049C	-2.74888463628917	13	73
RPL36A	YMR194W	-2.71401115368094	13	130
RPL17A	YKL180W	-2.69782925963269	11	21
ZEO1	YOL109W	-2.69558104095199	15	22
NOP53	YPL146C	-2.67819660308763	16	55
RPS8A	YBL072C	-2.65157046364509	2	17
RPS15	YOL040C	-2.64912455589972	15	50
RPL30	YGL030W	-2.64557117538515	7	87
HHT2	YBR010W	-2.63597984943053	2	51
RPL15A	YLR029C	-2.50326728903569	12	40
RPL34A	YER056C-A	-2.49699107361335	5	53
RPS29B	YDL061C	-2.4852119019694	4	68
RPL38	YLR325C	-2.47819364525535	12	156
ILV5	YLR355C	-2.47655781772543	12	167
RAD17	YOR368W	-2.4612938042995	15	205
GYP5	YPL249C	-2.44573179502153	16	15
YEF3	YLR249W	-2.43597059014056	12	127
MTC7	YEL033W	-2.35693302705056	5	17
ZNF1	YFL052W	-2.26783383827476	6	5
RPP0	YLR340W	-2.24258567537373	12	161
PHM8	YER037W	-2.2353485004564	5	45
RPS7A	YOR096W	-2.17250730583233	15	101
YHB1	YGR234W	-2.07671796951655	7	191
SMP1	YBR182C	-2.02575511407662	2	118
HHT2	YNL031C	-1.99024174018505	14	115
HYP2	YEL034W	-1.97925121562261	5	17
RPS19A	YOL121C	-1.85361659283567	15	18
YNG1	YOR064C	-1.72424476811295	15	89
ADH2	YMR303C	-1.69057913187464	13	174
CSS1	YIL169C	-1.53633998753202	9	4
